ticket_id,timestamp,asset_id,assigned_staff,priority,status,work_type,approval_date
WO-1031,2026-03-06T06:56:00Z,CONV-DC-AC-01,STF-006,Critical,Completed,Inspection,2026-03-04T12:56:00Z
WO-1032,2026-03-08T04:22:00Z,WT-G-002,STF-018,Medium,In_Progress,Hardware_Maintenance,2026-03-06T19:22:00Z
WO-1033,2026-03-01T15:02:00Z,WT-G-007,STF-018,Medium,Completed,Logic_Update,2026-03-01T07:02:00Z
WO-1034,2026-03-08T20:25:00Z,PITCH-MOT-03,STF-009,Medium,Completed,Firmware_Patch,2026-03-07T14:25:00Z
WO-1035,2026-03-10T19:42:00Z,WT-G-014,STF-004,High,Pending,Firmware_Patch,2026-03-09T18:42:00Z
WO-1036,2026-03-04T05:39:00Z,BRAKE-SYS-09,STF-007,High,Cancelled,Routine_Check,2026-03-02T16:39:00Z
WO-1037,2026-03-03T07:44:00Z,YAW-DRIVE-B2,STF-003,Low,Cancelled,Inspection,2026-03-01T12:44:00Z
WO-1038,2026-03-10T14:02:00Z,YAW-DRIVE-C1,STF-010,High,Cancelled,Logic_Update,2026-03-10T03:02:00Z
WO-1039,2026-03-02T22:20:00Z,YAW-DRIVE-A2,STF-008,Low,In_Progress,Logic_Update,2026-03-01T06:20:00Z
WO-1040,2026-03-02T12:43:00Z,NAC-TEMP-S03,STF-013,High,In_Progress,Logic_Update,2026-03-01T16:43:00Z
WO-1041,2026-03-08T22:22:00Z,PITCH-MOT-10,STF-007,Medium,Cancelled,Routine_Check,2026-03-07T14:22:00Z
WO-1042,2026-03-03T02:06:00Z,NAC-TEMP-S07,STF-015,Low,Pending,Logic_Update,2026-03-01T04:06:00Z
WO-1043,2026-03-08T22:12:00Z,WT-G-019,STF-003,High,Completed,Firmware_Patch,2026-03-07T11:12:00Z
WO-1044,2026-03-08T01:14:00Z,WT-G-015,STF-003,Critical,Cancelled,Firmware_Patch,2026-03-07T15:14:00Z
WO-1045,2026-03-07T05:30:00Z,PITCH-MOT-18,STF-008,Low,Completed,Hardware_Maintenance,2026-03-05T12:30:00Z
WO-1046,2026-03-02T19:10:00Z,PITCH-MOT-10,STF-004,High,Completed,Inspection,2026-03-01T02:10:00Z
WO-1047,2026-03-02T05:54:00Z,PITCH-MOT-09,STF-005,Medium,Pending,Hardware_Maintenance,2026-03-01T21:54:00Z
WO-1048,2026-03-10T05:27:00Z,BRAKE-SYS-05,STF-009,Medium,Completed,Firmware_Patch,2026-03-09T08:27:00Z
WO-1049,2026-03-01T10:16:00Z,WT-G-003,STF-002,Low,Completed,Inspection,2026-03-01T05:16:00Z
WO-1050,2026-03-06T15:58:00Z,WT-G-004,STF-005,Low,Pending,Routine_Check,2026-03-06T04:58:00Z
WO-1051,2026-03-01T15:06:00Z,PITCH-MOT-10,STF-019,High,Pending,Firmware_Patch,2026-03-01T08:06:00Z
WO-1052,2026-03-08T15:54:00Z,WT-G-014,STF-020,High,In_Progress,Hardware_Maintenance,2026-03-07T10:54:00Z
WO-1053,2026-03-06T16:06:00Z,WT-G-013,STF-009,Critical,Cancelled,Firmware_Patch,2026-03-06T00:06:00Z
WO-1054,2026-03-09T17:15:00Z,WT-G-009,STF-003,Critical,Completed,Routine_Check,2026-03-08T19:15:00Z
WO-1055,2026-03-05T08:34:00Z,YAW-DRIVE-B1,STF-013,High,Pending,Firmware_Patch,2026-03-04T22:34:00Z
WO-1056,2026-03-05T00:09:00Z,WT-G-014,STF-020,High,In_Progress,Routine_Check,2026-03-04T12:09:00Z
WO-1057,2026-03-09T03:39:00Z,WT-G-015,STF-017,Critical,Cancelled,Firmware_Patch,2026-03-08T18:39:00Z
WO-1058,2026-03-05T19:26:00Z,PITCH-MOT-11,STF-015,High,Completed,Inspection,2026-03-04T05:26:00Z
WO-1059,2026-03-01T11:43:00Z,YAW-DRIVE-C1,STF-010,Medium,Cancelled,Routine_Check,2026-02-27T23:43:00Z
WO-1060,2026-03-05T10:37:00Z,CONV-DC-AC-09,STF-020,Medium,Completed,Firmware_Patch,2026-03-03T18:37:00Z
WO-1061,2026-03-07T12:02:00Z,YAW-DRIVE-E3,STF-012,Low,Completed,Hardware_Maintenance,2026-03-05T20:02:00Z
WO-1062,2026-03-02T02:05:00Z,PITCH-MOT-17,STF-015,Low,Completed,Routine_Check,2026-02-28T18:05:00Z
WO-1063,2026-03-04T13:49:00Z,PITCH-MOT-09,STF-008,Critical,In_Progress,Firmware_Patch,2026-03-02T22:49:00Z
WO-1064,2026-03-04T06:14:00Z,YAW-DRIVE-A2,STF-010,High,Completed,Inspection,2026-03-03T07:14:00Z
WO-1065,2026-03-07T15:23:00Z,YAW-DRIVE-B2,STF-018,Medium,Cancelled,Inspection,2026-03-06T15:23:00Z
WO-1066,2026-03-07T21:49:00Z,WT-G-003,STF-004,High,Completed,Hardware_Maintenance,2026-03-06T11:49:00Z
WO-1067,2026-03-05T01:53:00Z,NAC-TEMP-S07,STF-005,Medium,Cancelled,Firmware_Patch,2026-03-04T22:53:00Z
WO-1068,2026-03-04T03:00:00Z,WT-G-008,STF-016,High,Cancelled,Routine_Check,2026-03-03T02:00:00Z
WO-1069,2026-03-07T05:32:00Z,WT-G-002,STF-013,High,In_Progress,Logic_Update,2026-03-06T06:32:00Z
WO-1070,2026-03-04T22:36:00Z,PITCH-MOT-10,STF-012,Low,Cancelled,Hardware_Maintenance,2026-03-04T08:36:00Z
WO-1071,2026-03-05T15:52:00Z,PITCH-MOT-09,STF-010,High,Cancelled,Routine_Check,2026-03-04T13:52:00Z
WO-1072,2026-03-03T14:48:00Z,BRAKE-SYS-05,STF-010,Low,Pending,Firmware_Patch,2026-03-01T18:48:00Z
WO-1073,2026-03-10T11:06:00Z,BRAKE-SYS-10,STF-019,Low,In_Progress,Firmware_Patch,2026-03-09T03:06:00Z
WO-1074,2026-03-02T13:30:00Z,WT-G-010,STF-018,High,Cancelled,Hardware_Maintenance,2026-03-01T04:30:00Z
WO-1075,2026-03-07T12:07:00Z,BRAKE-SYS-05,STF-016,High,Completed,Logic_Update,2026-03-06T20:07:00Z
WO-1076,2026-03-02T01:54:00Z,CONV-DC-AC-05,STF-009,Low,Pending,Hardware_Maintenance,2026-03-01T03:54:00Z
WO-1077,2026-03-09T13:41:00Z,PITCH-MOT-04,STF-010,Low,In_Progress,Routine_Check,2026-03-08T03:41:00Z
WO-1078,2026-03-09T18:31:00Z,WT-G-010,STF-008,Critical,In_Progress,Logic_Update,2026-03-08T06:31:00Z
WO-1079,2026-03-03T16:11:00Z,YAW-DRIVE-C2,STF-004,High,Completed,Inspection,2026-03-02T15:11:00Z
WO-1080,2026-03-05T00:54:00Z,NAC-TEMP-S06,STF-010,Medium,Cancelled,Firmware_Patch,2026-03-04T07:54:00Z
WO-1081,2026-03-10T08:00:00Z,BRAKE-SYS-03,STF-004,High,Cancelled,Hardware_Maintenance,2026-03-08T18:00:00Z
WO-1082,2026-03-02T11:01:00Z,PITCH-MOT-10,STF-019,Medium,Completed,Firmware_Patch,2026-03-01T06:01:00Z
WO-1083,2026-03-07T09:21:00Z,NAC-TEMP-S08,STF-015,Critical,In_Progress,Logic_Update,2026-03-06T15:21:00Z
WO-1084,2026-03-09T03:32:00Z,WT-G-019,STF-003,Low,Pending,Hardware_Maintenance,2026-03-08T05:32:00Z
WO-1085,2026-03-10T10:14:00Z,YAW-DRIVE-E1,STF-012,Low,Completed,Hardware_Maintenance,2026-03-09T19:14:00Z
WO-1086,2026-03-05T15:24:00Z,PITCH-MOT-14,STF-003,Critical,Completed,Inspection,2026-03-04T12:24:00Z
WO-1087,2026-03-08T01:53:00Z,WT-G-019,STF-004,Critical,Cancelled,Hardware_Maintenance,2026-03-06T19:53:00Z
WO-1088,2026-03-08T01:04:00Z,WT-G-010,STF-008,Medium,Cancelled,Routine_Check,2026-03-06T20:04:00Z
WO-1089,2026-03-03T17:41:00Z,PITCH-MOT-04,STF-001,Low,Completed,Inspection,2026-03-03T11:41:00Z
WO-1090,2026-03-05T15:48:00Z,BRAKE-SYS-03,STF-014,Critical,Cancelled,Firmware_Patch,2026-03-04T17:48:00Z
WO-1091,2026-03-08T11:47:00Z,BRAKE-SYS-10,STF-005,Medium,Completed,Logic_Update,2026-03-06T15:47:00Z
WO-1092,2026-03-01T21:49:00Z,WT-G-008,STF-012,Low,Cancelled,Inspection,2026-03-01T04:49:00Z
WO-1093,2026-03-06T12:00:00Z,WT-G-002,STF-016,Low,In_Progress,Firmware_Patch,2026-03-05T16:00:00Z
WO-1094,2026-03-01T00:15:00Z,WT-G-003,STF-017,Critical,In_Progress,Routine_Check,2026-02-27T17:15:00Z
WO-1095,2026-03-08T02:00:00Z,BRAKE-SYS-01,STF-006,Critical,Completed,Hardware_Maintenance,2026-03-06T16:00:00Z
WO-1096,2026-03-04T07:13:00Z,YAW-DRIVE-C1,STF-009,Medium,Pending,Logic_Update,2026-03-03T16:13:00Z
WO-1097,2026-03-10T14:48:00Z,WT-G-009,STF-016,High,Completed,Firmware_Patch,2026-03-09T03:48:00Z
WO-1098,2026-03-02T19:54:00Z,PITCH-MOT-10,STF-016,High,Cancelled,Inspection,2026-03-01T08:54:00Z
WO-1099,2026-03-09T18:03:00Z,BRAKE-SYS-11,STF-005,Medium,Pending,Inspection,2026-03-07T22:03:00Z
